Timestamp,Tender,Event,Description
"2026-05-07T16:08:58.038739Z","Highway_Construction_Tender_2025-26","criterion_override","Criterion 'pan-card' for bidder aa00d367-16d8-4766-8f31-778bc57b0e66 manually set to 'passed' by officer. Reason: Approving as its not required "
"2026-05-07T16:06:46.741645Z","Highway_Construction_Tender_2025-26","tender_criteria_identification_completed","Criteria identification completed for job 1214bfda-5427-4265-87cf-84024cf6eab3, tender f962e849-cf2c-4038-9e25-e28ac6a57af0 -- 4 criteria groups extracted"
"2026-05-07T16:06:32.135895Z","Highway_Construction_Tender_2025-26","tender_criteria_identification_started","Criteria identification started for job 1214bfda-5427-4265-87cf-84024cf6eab3, tender f962e849-cf2c-4038-9e25-e28ac6a57af0"
"2026-05-07T16:06:32.123783Z","Highway_Construction_Tender_2025-26","tender_criteria_evaluation_requested","Criteria evaluation requested for tender f962e849-cf2c-4038-9e25-e28ac6a57af0, job 1214bfda-5427-4265-87cf-84024cf6eab3 created with 2 bidders"
"2026-05-07T16:06:01.405480Z","Highway_Construction_Tender_2025-26","tender_created","Tender e9b53ffd-9874-435f-9370-35c1233aba5a 'Highway_Construction_Tender_2025-26' created"
"2026-05-07T16:05:12.361843Z","Highway_Construction_Tender_2025-26","bidder_added","Bidder 'Bharat_Engineering_Solutions' (bid aa00d367-16d8-4766-8f31-778bc57b0e66) added to tender f962e849-cf2c-4038-9e25-e28ac6a57af0"
"2026-05-07T16:04:35.877354Z","Highway_Construction_Tender_2025-26","bidder_added","Bidder 'Apex_Builders' (bid fc2328cd-f69d-4c98-b68c-289a84078c26) added to tender f962e849-cf2c-4038-9e25-e28ac6a57af0"
"2026-05-07T16:03:31.305149Z","Highway_Construction_Tender_2025-26","tender_created","Tender f962e849-cf2c-4038-9e25-e28ac6a57af0 'Highway_Construction_Tender_2025-26' created"
"2026-05-07T16:01:42.875225Z","Highway_Construction_Tender_2025-26","tender_closed","Tender closed and signed off by officer. Approved bidders: "
"2026-05-07T16:01:41.033058Z","Highway_Construction_Tender_2025-26","bidder_approved","Bidder 'Bharat_Engineering_Solutions' approved by officer"
"2026-05-07T15:59:38.874858Z","Highway_Construction_Tender_2025-26","tender_criteria_identification_completed","Criteria identification completed for job 5926ea99-9803-484b-8b04-9eee2312d5cf, tender 2bdbbd75-57ac-4362-b1ec-002a70b0c734 -- 5 criteria groups extracted"
"2026-05-07T15:59:05.615214Z","Highway_Construction_Tender_2025-26","tender_criteria_identification_started","Criteria identification started for job 5926ea99-9803-484b-8b04-9eee2312d5cf, tender 2bdbbd75-57ac-4362-b1ec-002a70b0c734"
"2026-05-07T15:59:05.593090Z","Highway_Construction_Tender_2025-26","tender_criteria_evaluation_requested","Criteria evaluation requested for tender 2bdbbd75-57ac-4362-b1ec-002a70b0c734, job 5926ea99-9803-484b-8b04-9eee2312d5cf created with 2 bidders"
"2026-05-07T15:58:46.212840Z","Highway_Construction_Tender_2025-26","bidder_added","Bidder 'Bharat_Engineering_Solutions' (bid 16e215be-4d1b-46fd-9b34-519cf8ebc61e) added to tender 2bdbbd75-57ac-4362-b1ec-002a70b0c734"
"2026-05-07T15:58:23.596917Z","Highway_Construction_Tender_2025-26","bidder_added","Bidder 'Apex_Builders' (bid 4727605a-aea7-482f-ba68-f261d733042a) added to tender 2bdbbd75-57ac-4362-b1ec-002a70b0c734"
"2026-05-07T15:57:42.709463Z","Highway_Construction_Tender_2025-26","tender_created","Tender 2bdbbd75-57ac-4362-b1ec-002a70b0c734 'Highway_Construction_Tender_2025-26' created"
